group,pixel_md5,split,label,path
0,fc375b6880945182e1c6be9d8623c84c,test,001,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_001/mmhc2_54.tif
0,fc375b6880945182e1c6be9d8623c84c,train,001,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_001/mmhc2_1195.tif
1,88b12013ad62f3251baa81de9451bd35,test,001,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_001/mmhc2_83.tif
1,88b12013ad62f3251baa81de9451bd35,train,002,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_002/mmhc3_379.tif
2,8b4ae0b83cb16c0ab7dfc47783e6d21c,test,001,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_001/mmhc2_85.tif
2,8b4ae0b83cb16c0ab7dfc47783e6d21c,train,002,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_002/mmhc3_1261.tif
3,62e5c488ce3a08c143ad96d4c3e86bb8,test,001,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_001/mmhc2_87.tif
3,62e5c488ce3a08c143ad96d4c3e86bb8,train,002,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_002/mmhc3_1401.tif
4,ae2cd2a02e0f9c4a7b8a40048ac80800,test,001,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_001/mmhc2_89.tif
4,ae2cd2a02e0f9c4a7b8a40048ac80800,train,002,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_002/mmhc3_470.tif
5,f3871700e90a24f5e919dcc37f399ef0,test,001,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_001/mmhc2_90.tif
5,f3871700e90a24f5e919dcc37f399ef0,train,002,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_002/mmhc3_1324.tif
6,94326b911a2965225592caff055bcff6,test,001,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_001/mmhc2_138.tif
6,94326b911a2965225592caff055bcff6,train,001,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_001/mmhc2_639.tif
7,b9266a596702d42f59ef2eb3883670af,test,001,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_001/mmhc2_265.tif
7,b9266a596702d42f59ef2eb3883670af,train,008,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_008/mmhc9_1378.tif
8,5d8be79fa28b755bbf8d96886d54b7a1,test,002,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_002/mmhc3_12.tif
8,5d8be79fa28b755bbf8d96886d54b7a1,train,001,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_001/mmhc2_1005.tif
9,d53b92916821728ac677144b55dcaa4e,test,002,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_002/mmhc3_38.tif
9,d53b92916821728ac677144b55dcaa4e,train,001,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_001/mmhc2_1377.tif
10,7b97c08ce7e750d1e794b78be23c140e,test,002,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_002/mmhc3_128.tif
10,7b97c08ce7e750d1e794b78be23c140e,train,001,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_001/mmhc2_1288.tif
11,7b9b0c7c3045a0ecdf146a7f4ac61d32,test,002,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_002/mmhc3_154.tif
11,7b9b0c7c3045a0ecdf146a7f4ac61d32,train,001,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_001/mmhc2_1044.tif
12,f95c626acb14441bb44b0bc4d80bc915,test,002,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_002/mmhc3_255.tif
12,f95c626acb14441bb44b0bc4d80bc915,train,001,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_001/mmhc2_1015.tif
13,5fb5be2c9c12abf61f234acc60e6c6ca,test,003,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_003/mmhc4_26.tif
13,5fb5be2c9c12abf61f234acc60e6c6ca,train,003,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_003/mmhc4_93.tif
14,81105b3fbd1bc90fadc10e4cecf42afe,test,003,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_003/mmhc4_40.tif
14,81105b3fbd1bc90fadc10e4cecf42afe,train,003,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_003/mmhc4_1297.tif
15,09b78ea034b4235b6dde52ca997d00fc,test,003,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_003/mmhc4_62.tif
15,09b78ea034b4235b6dde52ca997d00fc,train,003,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_003/mmhc4_214.tif
16,83e5a7ba72d9cd7676e10a0d4b4b917a,test,003,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_003/mmhc4_64.tif
16,83e5a7ba72d9cd7676e10a0d4b4b917a,test,003,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_003/mmhc4_74.tif
17,871a67fb3fd48776249d4ade676badd7,test,003,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_003/mmhc4_75.tif
17,871a67fb3fd48776249d4ade676badd7,test,003,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_003/mmhc4_96.tif
18,42d02680dfee6d5c02ee90ee302d064d,test,003,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_003/mmhc4_104.tif
18,42d02680dfee6d5c02ee90ee302d064d,train,003,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_003/mmhc4_1047.tif
19,c23c2be444113eb74b3b2a325a9a2106,test,004,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_004/mmhc5_164.tif
19,c23c2be444113eb74b3b2a325a9a2106,train,004,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_004/mmhc5_231.tif
20,f8c97f78d3cc53a243a9d390716e64b7,test,005,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_005/mmhc6_43.tif
20,f8c97f78d3cc53a243a9d390716e64b7,test,005,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_005/mmhc6_140.tif
