word,count,position,where,before,written,convention,twin,twin_count,hint,expert_verdict
ꯃꯆꯥꯈꯥꯏꯕ,398,6,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯃꯆꯥꯈꯥꯢꯕ,2,both spellings,
ꯂꯥꯏꯅꯤꯡ,15,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯂꯥꯢꯅꯤꯡ,417,variant: the twin is more frequent,
ꯏꯃꯣꯏꯅꯨ,8,4,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯏꯃꯣꯢꯅꯨ,39,variant: the twin is more frequent,
ꯑꯣꯏꯅꯥꯝ,6,3,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯑꯣꯢꯅꯥꯝ,123,variant: the twin is more frequent,
ꯂꯃꯥꯏ,5,4,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯂꯃꯥꯢ,12,variant: the twin is more frequent,
ꯂꯥꯏ,4,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯂꯥꯢ,541,variant: the twin is more frequent,
ꯀꯧꯢ,3,3,after another vowel sign,ꯧ,ꯢ,ꯏ,ꯀꯧꯏ,3,both spellings,
ꯁꯂꯥꯏ,3,4,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯁꯂꯥꯢ,16,variant: the twin is more frequent,
ꯂꯥꯏꯔꯦꯝꯕꯤ,3,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯂꯥꯢꯔꯦꯝꯕꯤ,76,variant: the twin is more frequent,
ꯍꯥꯏꯕꯁꯤ,3,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯍꯥꯢꯕꯁꯤ,17,variant: the twin is more frequent,
ꯑꯃꯥꯏꯂꯣꯟ,3,4,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯑꯃꯥꯢꯂꯣꯟ,2,both spellings,
ꯢꯔꯥꯕꯇ,3,1,word start,,ꯢ,ꯏ,ꯏꯔꯥꯕꯇ,0,only this spelling in the list,
ꯂꯥꯏꯅꯤꯡꯒꯤ,2,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯂꯥꯢꯅꯤꯡꯒꯤ,13,variant: the twin is more frequent,
ꯂꯥꯏꯒꯤ,2,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯂꯥꯢꯒꯤ,6,variant: the twin is more frequent,
ꯉꯝꯢ,2,3,after a final (lonsum),ꯝ,ꯢ,ꯏ,ꯉꯝꯏ,3,variant: the twin is more frequent,
ꯍꯥꯏꯐꯝ,2,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯍꯥꯢꯐꯝ,0,only this spelling in the list,
ꯍꯦꯢꯗꯣꯛꯂꯒꯦ,2,3,after another vowel sign,ꯦ,ꯢ,ꯏ,ꯍꯦꯏꯗꯣꯛꯂꯒꯦ,0,only this spelling in the list,
ꯏꯂꯥꯏ,2,4,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯏꯂꯥꯢ,29,variant: the twin is more frequent,
ꯏꯔꯥꯏ,2,4,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯏꯔꯥꯢ,5,variant: the twin is more frequent,
ꯢꯝ꯭ꯐꯥꯂ,2,1,word start,,ꯢ,ꯏ,ꯏꯝ꯭ꯐꯥꯂ,0,only this spelling in the list,
ꯢꯪꯂꯤꯁ,2,1,word start,,ꯢ,ꯏ,ꯏꯪꯂꯤꯁ,35,variant: the twin is more frequent,
ꯀꯣꯏꯐꯝ,1,3,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯀꯣꯢꯐꯝ,1,both spellings,
ꯀꯣꯛꯢ,1,4,after a final (lonsum),ꯛ,ꯢ,ꯏ,ꯀꯣꯛꯏ,0,only this spelling in the list,
ꯀꯥꯏ,1,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯀꯥꯢ,0,only this spelling in the list,
ꯀꯨꯏꯕꯤꯀꯣ,1,3,"after aa, o or u",ꯨ,ꯏ,ꯢ,ꯀꯨꯢꯕꯤꯀꯣ,0,only this spelling in the list,
ꯂꯃꯥꯏꯁꯤꯡ,1,4,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯂꯃꯥꯢꯁꯤꯡ,8,variant: the twin is more frequent,
ꯂꯣꯏꯅꯁꯤꯟꯂꯣꯜ,1,3,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯂꯣꯢꯅꯁꯤꯟꯂꯣꯜ,47,variant: the twin is more frequent,
ꯂꯣꯏꯅꯁꯤꯟꯂꯣꯟ,1,3,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯂꯣꯢꯅꯁꯤꯟꯂꯣꯟ,147,variant: the twin is more frequent,
ꯂꯣꯏꯅꯅ,1,3,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯂꯣꯢꯅꯅ,15,variant: the twin is more frequent,
ꯂꯥꯏꯅꯤꯡꯊꯧ,1,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯂꯥꯢꯅꯤꯡꯊꯧ,25,variant: the twin is more frequent,
ꯂꯥꯏꯔꯤꯛ,1,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯂꯥꯢꯔꯤꯛ,194,variant: the twin is more frequent,
ꯂꯥꯢꯍꯨꯏ,1,6,"after aa, o or u",ꯨ,ꯏ,ꯢ,ꯂꯥꯢꯍꯨꯢ,23,variant: the twin is more frequent,
ꯂꯨꯏ,1,3,"after aa, o or u",ꯨ,ꯏ,ꯢ,ꯂꯨꯢ,0,only this spelling in the list,
ꯂꯩꯔꯝꯢ,1,5,after a final (lonsum),ꯝ,ꯢ,ꯏ,ꯂꯩꯔꯝꯏ,0,only this spelling in the list,
ꯃꯆꯥꯏꯕꯦꯝꯃ,1,4,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯃꯆꯥꯢꯕꯦꯝꯃ,0,only this spelling in the list,
ꯃꯣꯏ,1,3,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯃꯣꯢ,1,both spellings,
ꯄꯤꯑꯥꯏꯑꯦꯟ,1,5,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯄꯤꯑꯥꯢꯑꯦꯟ,0,only this spelling in the list,
ꯄꯥꯏꯔꯤꯕꯁꯤꯡ,1,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯄꯥꯢꯔꯤꯕꯁꯤꯡ,6,variant: the twin is more frequent,
ꯄꯨꯏ,1,3,"after aa, o or u",ꯨ,ꯏ,ꯢ,ꯄꯨꯢ,0,only this spelling in the list,
ꯅꯣꯏꯅꯨ,1,3,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯅꯣꯢꯅꯨ,2,variant: the twin is more frequent,
ꯆꯠꯂꯨꯏ,1,5,"after aa, o or u",ꯨ,ꯏ,ꯢ,ꯆꯠꯂꯨꯢ,0,only this spelling in the list,
ꯆꯣꯝꯢ,1,4,after a final (lonsum),ꯝ,ꯢ,ꯏ,ꯆꯣꯝꯏ,0,only this spelling in the list,
ꯆꯥꯎꯈꯠꯂꯝꯢ,1,8,after a final (lonsum),ꯝ,ꯢ,ꯏ,ꯆꯥꯎꯈꯠꯂꯝꯏ,0,only this spelling in the list,
ꯇꯧꯢ,1,3,after another vowel sign,ꯧ,ꯢ,ꯏ,ꯇꯧꯏ,1,both spellings,
ꯈꯥꯢꯗꯣꯛꯢ,1,7,after a final (lonsum),ꯛ,ꯢ,ꯏ,ꯈꯥꯢꯗꯣꯛꯏ,3,variant: the twin is more frequent,
ꯈꯨꯟꯗꯥꯏ,1,6,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯈꯨꯟꯗꯥꯢ,0,only this spelling in the list,
ꯈꯨꯠꯂꯥꯏ,1,6,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯈꯨꯠꯂꯥꯢ,15,variant: the twin is more frequent,
ꯊꯣꯏ,1,3,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯊꯣꯢ,0,only this spelling in the list,
